# domain	subdomain	url
Architecture and Transportation	railway stations	https://en.wikipedia.org/wiki/Bj%C3%B8rnevatn_Station
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/Valle_Airport
Arts and Media	music charts	https://en.wikipedia.org/wiki/APRA_Music_Awards_of_2009
Economy and Business	banks	https://en.wikipedia.org/wiki/First_National_State_Bank_Building
Education	schools	https://en.wikipedia.org/wiki/School_Gyrls_(album)
Geography	islands	https://en.wikipedia.org/wiki/Siau_Tagulandang_Biaro_Islands_Regency
People	award records	https://en.wikipedia.org/wiki/List_of_Melbourne_City_FC_records_and_statistics
Physical Sciences	stars	https://en.wikipedia.org/wiki/Nouvelle_Star_season_6
Politics and Law	elections	https://en.wikipedia.org/wiki/2010_Belgian_federal_election
