# domain	subdomain	url
Architecture and Transportation	railway stations	https://en.wikipedia.org/wiki/List_of_busiest_railway_stations_in_West_Yorkshire
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/Visakhapatnam_Airport
Arts and Media	film awards	https://en.wikipedia.org/wiki/Dallas%E2%80%93Fort_Worth_Film_Critics_Association_Awards_2014
Arts and Media	music charts	https://en.wikipedia.org/wiki/Billboard_Music_Award_for_Top_Latin_Artist
Economy and Business	companies	https://en.wikipedia.org/wiki/List_of_ships_built_by_Hall,_Russell_%26_Company_(601%E2%80%93700)
Economy and Business	banks	https://en.wikipedia.org/wiki/List_of_banks_in_Ukraine
Education	universities	https://en.wikipedia.org/wiki/1905%E2%80%9306_University_of_Virginia_men%27s_basketball_team
Education	schools	https://en.wikipedia.org/wiki/Lift_Schools
Engineering and Technology	bridges	https://en.wikipedia.org/wiki/List_of_pontoon_bridges
Geography	lakes	https://en.wikipedia.org/wiki/Prehistoric_pile_dwellings_around_Lake_Zurich
Geography	islands	https://en.wikipedia.org/wiki/List_of_lighthouses_in_the_Canary_Islands
Life Sciences	birds	https://en.wikipedia.org/wiki/Angry_Birds_Stella_(TV_series)
Politics and Law	elections	https://en.wikipedia.org/wiki/2017_Japanese_general_election
Politics and Law	court cases	https://en.wikipedia.org/wiki/Bill_Cosby_sexual_assault_cases
Sports and Recreation	championship results	https://en.wikipedia.org/wiki/2016_Men%27s_European_Water_Polo_Championship
Sports and Recreation	stadiums	https://en.wikipedia.org/wiki/List_of_football_stadiums_in_Algeria
